2021_12_28_06_16_26,5d8cd542766c880017188948,5,1,0,0
2021_12_28_06_16_43,5d8cd542766c880017188948,7,0,1,1
2021_12_28_06_17_00,5d8cd542766c880017188948,9,1,0,0
2021_12_28_06_17_16,5d8cd542766c880017188948,5,0,1,0
2021_12_28_06_17_32,5d8cd542766c880017188948,12,1,0,0
2021_12_28_06_17_48,5d8cd542766c880017188948,4,0,1,0
2021_12_28_06_18_04,5d8cd542766c880017188948,5,1,0,0
2021_12_28_06_18_20,5d8cd542766c880017188948,4,0,0,0
2021_12_28_06_18_36,5d8cd542766c880017188948,6,0,0,0
2021_12_28_06_18_52,5d8cd542766c880017188948,8,0,0,0
2021_12_28_06_19_08,5d8cd542766c880017188948,8,2,1,0
2021_12_28_06_19_24,5d8cd542766c880017188948,3,1,0,0
2021_12_28_06_19_41,5d8cd542766c880017188948,3,1,0,0
2021_12_28_06_19_57,5d8cd542766c880017188948,3,1,0,0
2021_12_28_06_20_13,5d8cd542766c880017188948,3,1,0,0
2021_12_28_06_20_29,5d8cd542766c880017188948,3,1,0,0
2021_12_28_06_20_45,5d8cd542766c880017188948,3,1,0,0
2021_12_28_06_21_01,5d8cd542766c880017188948,9,3,1,0
2021_12_28_06_21_17,5d8cd542766c880017188948,9,3,1,0
2021_12_28_06_21_33,5d8cd542766c880017188948,9,3,1,0
2021_12_28_06_21_49,5d8cd542766c880017188948,9,3,1,0
2021_12_28_06_22_05,5d8cd542766c880017188948,3,0,0,0
2021_12_28_06_22_22,5d8cd542766c880017188948,8,0,0,0
2021_12_28_06_22_38,5d8cd542766c880017188948,6,0,0,0
2021_12_28_06_22_54,5d8cd542766c880017188948,11,0,0,0
2021_12_28_06_23_10,5d8cd542766c880017188948,20,2,0,0
2021_12_28_06_23_26,5d8cd542766c880017188948,12,1,0,0
2021_12_28_06_23_42,5d8cd542766c880017188948,10,0,0,0
2021_12_28_06_23_58,5d8cd542766c880017188948,12,2,1,0
2021_12_28_06_24_15,5d8cd542766c880017188948,12,2,1,0
2021_12_28_06_24_31,5d8cd542766c880017188948,12,2,1,0
2021_12_28_06_24_47,5d8cd542766c880017188948,13,0,0,0
2021_12_28_06_25_03,5d8cd542766c880017188948,16,0,1,0
2021_12_28_06_25_19,5d8cd542766c880017188948,8,1,0,0
2021_12_28_06_25_35,5d8cd542766c880017188948,15,1,0,0
2021_12_28_06_25_51,5d8cd542766c880017188948,12,3,1,0
2021_12_28_06_26_07,5d8cd542766c880017188948,11,3,0,0
2021_12_28_06_26_23,5d8cd542766c880017188948,11,1,0,0
2021_12_28_06_26_39,5d8cd542766c880017188948,8,2,1,0
2021_12_28_06_26_55,5d8cd542766c880017188948,14,0,0,0
2021_12_28_06_27_12,5d8cd542766c880017188948,9,2,0,0
2021_12_28_06_27_28,5d8cd542766c880017188948,7,1,1,0
2021_12_28_06_27_44,5d8cd542766c880017188948,16,0,0,0
2021_12_28_06_28_00,5d8cd542766c880017188948,9,0,2,0
2021_12_28_06_28_16,5d8cd542766c880017188948,12,2,1,0
2021_12_28_06_28_32,5d8cd542766c880017188948,6,0,0,0
2021_12_28_06_28_48,5d8cd542766c880017188948,18,0,0,0
2021_12_28_06_29_04,5d8cd542766c880017188948,1,0,1,0
2021_12_28_06_29_20,5d8cd542766c880017188948,14,0,0,0
2021_12_28_06_29_36,5d8cd542766c880017188948,22,1,0,0
2021_12_28_06_29_52,5d8cd542766c880017188948,13,0,0,0
2021_12_28_06_30_08,5d8cd542766c880017188948,12,2,0,0
2021_12_28_06_30_24,5d8cd542766c880017188948,12,0,1,0
2021_12_28_06_30_40,5d8cd542766c880017188948,13,1,0,0
2021_12_28_06_30_57,5d8cd542766c880017188948,5,0,1,0
2021_12_28_06_31_13,5d8cd542766c880017188948,9,1,1,0
2021_12_28_06_31_29,5d8cd542766c880017188948,13,1,0,0
2021_12_28_06_31_45,5d8cd542766c880017188948,8,1,2,0
2021_12_28_06_32_01,5d8cd542766c880017188948,1,0,2,1
2021_12_28_06_32_17,5d8cd542766c880017188948,14,0,0,0
2021_12_28_06_32_33,5d8cd542766c880017188948,11,3,0,0
2021_12_28_06_32_49,5d8cd542766c880017188948,9,1,1,0
2021_12_28_06_33_05,5d8cd542766c880017188948,13,2,3,0
2021_12_28_06_33_21,5d8cd542766c880017188948,8,1,0,0
2021_12_28_06_33_37,5d8cd542766c880017188948,11,1,0,0
2021_12_28_06_33_53,5d8cd542766c880017188948,7,0,0,0
2021_12_28_06_34_09,5d8cd542766c880017188948,15,1,0,0
2021_12_28_06_34_25,5d8cd542766c880017188948,14,0,0,0
2021_12_28_06_34_41,5d8cd542766c880017188948,8,2,1,0
2021_12_28_06_34_58,5d8cd542766c880017188948,10,4,1,0
2021_12_28_06_35_14,5d8cd542766c880017188948,17,1,0,0
2021_12_28_06_35_30,5d8cd542766c880017188948,14,1,0,0
2021_12_28_06_35_46,5d8cd542766c880017188948,5,0,0,0
2021_12_28_06_36_02,5d8cd542766c880017188948,8,0,0,0
2021_12_28_06_36_18,5d8cd542766c880017188948,5,1,0,0
2021_12_28_06_36_34,5d8cd542766c880017188948,12,0,0,1
2021_12_28_06_36_50,5d8cd542766c880017188948,8,1,1,0
2021_12_28_06_37_06,5d8cd542766c880017188948,11,0,0,0
2021_12_28_06_37_22,5d8cd542766c880017188948,11,0,0,0
2021_12_28_06_37_38,5d8cd542766c880017188948,1,0,1,1
2021_12_28_06_37_54,5d8cd542766c880017188948,1,0,1,1
2021_12_28_06_38_11,5d8cd542766c880017188948,1,0,1,1
2021_12_28_06_38_27,5d8cd542766c880017188948,7,2,0,0
2021_12_28_06_38_43,5d8cd542766c880017188948,7,0,0,0
2021_12_28_06_38_59,5d8cd542766c880017188948,9,0,1,0
2021_12_28_06_39_15,5d8cd542766c880017188948,8,0,0,0
2021_12_28_06_39_31,5d8cd542766c880017188948,10,0,1,0
2021_12_28_06_39_47,5d8cd542766c880017188948,6,3,1,0
2021_12_28_06_40_03,5d8cd542766c880017188948,5,2,0,0
2021_12_28_06_40_19,5d8cd542766c880017188948,7,1,0,0
2021_12_28_06_40_35,5d8cd542766c880017188948,6,0,0,0
2021_12_28_06_40_51,5d8cd542766c880017188948,6,0,0,0
2021_12_28_06_41_07,5d8cd542766c880017188948,6,0,0,0
2021_12_28_06_41_23,5d8cd542766c880017188948,6,0,0,0
2021_12_28_06_41_39,5d8cd542766c880017188948,6,0,0,0
2021_12_28_06_41_55,5d8cd542766c880017188948,6,0,0,0
2021_12_28_06_42_11,5d8cd542766c880017188948,6,0,0,0
2021_12_28_06_42_27,5d8cd542766c880017188948,14,1,1,0
2021_12_28_06_42_43,5d8cd542766c880017188948,4,3,0,0
2021_12_28_06_42_59,5d8cd542766c880017188948,8,2,1,0
2021_12_28_06_43_15,5d8cd542766c880017188948,4,3,0,0
2021_12_28_06_43_31,5d8cd542766c880017188948,6,2,0,0
2021_12_28_06_43_47,5d8cd542766c880017188948,0,1,1,0
2021_12_28_06_44_03,5d8cd542766c880017188948,8,0,0,0
2021_12_28_06_44_19,5d8cd542766c880017188948,6,0,0,0
2021_12_28_06_44_35,5d8cd542766c880017188948,8,1,0,0
2021_12_28_06_44_51,5d8cd542766c880017188948,4,3,0,0
2021_12_28_06_45_07,5d8cd542766c880017188948,4,1,1,0
2021_12_28_06_45_24,5d8cd542766c880017188948,7,0,0,0
2021_12_28_06_45_40,5d8cd542766c880017188948,8,2,0,0
2021_12_28_06_45_56,5d8cd542766c880017188948,9,0,0,0
2021_12_28_06_46_12,5d8cd542766c880017188948,10,0,0,0
2021_12_28_06_46_28,5d8cd542766c880017188948,3,1,0,0
2021_12_28_06_46_44,5d8cd542766c880017188948,1,0,1,0
2021_12_28_06_47_01,5d8cd542766c880017188948,6,0,0,0
2021_12_28_06_47_17,5d8cd542766c880017188948,7,1,1,0
2021_12_28_06_47_33,5d8cd542766c880017188948,4,0,1,0
2021_12_28_06_47_49,5d8cd542766c880017188948,2,1,1,0
2021_12_28_06_48_05,5d8cd542766c880017188948,4,1,0,0
2021_12_28_06_48_21,5d8cd542766c880017188948,13,0,0,0
2021_12_28_06_48_37,5d8cd542766c880017188948,6,0,0,0
2021_12_28_06_48_53,5d8cd542766c880017188948,4,3,0,0
2021_12_28_06_49_09,5d8cd542766c880017188948,5,0,0,0
2021_12_28_06_49_25,5d8cd542766c880017188948,3,0,0,0
2021_12_28_06_49_41,5d8cd542766c880017188948,4,2,0,0
2021_12_28_06_49_57,5d8cd542766c880017188948,9,1,0,0
2021_12_28_06_50_13,5d8cd542766c880017188948,9,2,0,0
2021_12_28_06_50_29,5d8cd542766c880017188948,6,0,0,0
2021_12_28_06_50_45,5d8cd542766c880017188948,6,4,0,0
2021_12_28_06_51_02,5d8cd542766c880017188948,5,2,0,0
2021_12_28_06_51_19,5d8cd542766c880017188948,2,0,0,0
2021_12_28_06_51_35,5d8cd542766c880017188948,2,1,1,0
2021_12_28_06_51_51,5d8cd542766c880017188948,10,3,0,0
2021_12_28_06_52_07,5d8cd542766c880017188948,3,0,0,0
2021_12_28_06_52_23,5d8cd542766c880017188948,8,0,0,0
2021_12_28_06_52_39,5d8cd542766c880017188948,9,1,0,0
2021_12_28_06_52_55,5d8cd542766c880017188948,7,0,0,0
2021_12_28_06_53_11,5d8cd542766c880017188948,6,1,0,0
2021_12_28_06_53_27,5d8cd542766c880017188948,7,0,2,0
2021_12_28_06_53_44,5d8cd542766c880017188948,7,2,1,0
2021_12_28_06_54_00,5d8cd542766c880017188948,5,6,2,0
2021_12_28_06_54_16,5d8cd542766c880017188948,4,3,3,0
2021_12_28_06_54_32,5d8cd542766c880017188948,5,0,1,0
2021_12_28_06_54_48,5d8cd542766c880017188948,4,2,0,0
2021_12_28_06_55_04,5d8cd542766c880017188948,8,2,0,0
2021_12_28_06_55_20,5d8cd542766c880017188948,8,3,0,0
2021_12_28_06_55_36,5d8cd542766c880017188948,5,1,0,0
2021_12_28_06_55_52,5d8cd542766c880017188948,4,0,1,0
2021_12_28_06_56_08,5d8cd542766c880017188948,6,0,0,0
2021_12_28_06_56_24,5d8cd542766c880017188948,11,2,0,0
2021_12_28_06_56_40,5d8cd542766c880017188948,7,0,0,0
2021_12_28_06_56_56,5d8cd542766c880017188948,9,1,0,0
2021_12_28_06_57_12,5d8cd542766c880017188948,9,1,1,0
2021_12_28_06_57_28,5d8cd542766c880017188948,7,1,0,0
2021_12_28_06_57_44,5d8cd542766c880017188948,10,0,0,0
2021_12_28_06_58_00,5d8cd542766c880017188948,9,2,0,0
2021_12_28_06_58_17,5d8cd542766c880017188948,3,0,1,0
2021_12_28_06_58_33,5d8cd542766c880017188948,11,1,0,0
2021_12_28_06_58_49,5d8cd542766c880017188948,5,1,1,0
2021_12_28_06_59_05,5d8cd542766c880017188948,9,2,0,0
2021_12_28_06_59_21,5d8cd542766c880017188948,13,1,0,0
2021_12_28_06_59_37,5d8cd542766c880017188948,8,0,0,0
2021_12_28_06_59_53,5d8cd542766c880017188948,6,3,0,0
2021_12_28_07_00_09,5d8cd542766c880017188948,12,0,0,0
2021_12_28_07_00_25,5d8cd542766c880017188948,4,1,0,0
2021_12_28_07_00_41,5d8cd542766c880017188948,8,1,1,0
2021_12_28_07_00_57,5d8cd542766c880017188948,8,0,0,0
2021_12_28_07_01_13,5d8cd542766c880017188948,6,1,1,0
2021_12_28_07_01_29,5d8cd542766c880017188948,9,1,0,0
2021_12_28_07_01_45,5d8cd542766c880017188948,7,1,0,0
2021_12_28_07_02_01,5d8cd542766c880017188948,9,1,0,0
2021_12_28_07_02_17,5d8cd542766c880017188948,7,0,0,0
2021_12_28_07_02_33,5d8cd542766c880017188948,3,3,0,0
2021_12_28_07_02_49,5d8cd542766c880017188948,7,3,0,0
2021_12_28_07_03_05,5d8cd542766c880017188948,6,0,0,0
2021_12_28_07_03_21,5d8cd542766c880017188948,5,0,0,0
2021_12_28_07_03_37,5d8cd542766c880017188948,7,0,0,0
2021_12_28_07_03_54,5d8cd542766c880017188948,6,0,0,0
2021_12_28_07_04_10,5d8cd542766c880017188948,6,2,0,0
2021_12_28_07_04_26,5d8cd542766c880017188948,9,1,0,0
2021_12_28_07_04_42,5d8cd542766c880017188948,10,0,0,0
2021_12_28_07_04_58,5d8cd542766c880017188948,5,1,1,0
2021_12_28_07_05_14,5d8cd542766c880017188948,8,2,0,0
2021_12_28_07_05_30,5d8cd542766c880017188948,6,3,1,0
2021_12_28_07_05_46,5d8cd542766c880017188948,11,2,0,0
2021_12_28_07_06_02,5d8cd542766c880017188948,10,1,0,0
2021_12_28_07_06_18,5d8cd542766c880017188948,8,1,0,0
2021_12_28_07_06_34,5d8cd542766c880017188948,10,2,0,0
2021_12_28_07_06_50,5d8cd542766c880017188948,8,3,1,0
